source,target
21174496,1772099
21174496,19964997
21174496,6190702
21174496,24743042
21174496,541319
21174496,1492619
21174496,1776274
21174496,19713173
21174496,19847832
21174496,17487002
21174496,252576
21174496,20186791
21174496,19828398
21174496,4705492
21174496,18629337
21174496,18361585
21174496,18243826
21174496,6629622
21174496,23456513
21174496,1358081
21174496,18562307
21174496,12847372
21174496,19728145
21174496,19416348
21174496,18425641
21174496,7700282
21174496,22585660
21174496,1078077
21174496,20757821
21174496,19011903
21174496,14380872
21174496,1431882
21174496,24584525
21174496,5282132
21174496,19266390
21174496,1371991
21174496,18506072
21174496,18286946
21174496,20129636
21174496,19934054
21174496,1763190
21174496,1187715
21174496,10426762
21174496,25648018
21174496,19249559
21174496,20421535
21174496,20583850
21174496,20336043
21174496,23723436
21174496,18314669
21174496,9376702
21174496,16067522
21174496,13635532
21174496,1349592
21174496,20836828
21174496,22197221
21174496,20807142
21174496,526316
21174496,1642477
21174496,19828207
21174496,18414590
8771812,535553
8771812,19194894
8771812,1728035
8771812,16321082
8771812,16607822
8771812,13560402
8771812,16477792
8771812,6190702
8771812,7130232
8771812,24906881
8771812,23398017
8771812,541319
8771812,1776274
8771812,7138452
8771812,18494105
8771812,7836842
8771812,6707902
8771812,10178242
8771812,14546632
8771812,14649032
8771812,16062152
8771812,18361585
8771812,15297782
8771812,1358081
8771812,18456837
8771812,18850080
8771812,1169709
8771812,19997487
8771812,1360698
8771812,1354051
8771812,7151442
8771812,20135762
8771812,5282132
8771812,18779992
8771812,18506072
8771812,5618532
8771812,11625832
8771812,3173762
8771812,16487812
8771812,1581956
8771812,11862932
8771812,10016162
8771812,21837219
8771812,19218850
8771812,17467312
8771812,18589616
8771812,405938
8771812,18314164
8771812,9376702
8771812,22985677
8771812,18616278
8771812,17872862
8771812,14557662
8771812,204767
8771812,526316
8771812,10016242
8771812,19654655
22132964,1492619
22132964,16536012
22132964,4705492
22132964,19443174
22132964,20336043
22132964,18414590
22132964,23394559
19198182,21755271
19198182,1751502
19198182,17487002
19198182,204767
19198182,1728035
19198182,1622500
19198182,6190702
25495782,6335372
18266348,6190702
18634990,12588802
18634990,1187715
18634990,18672773
18634990,14396812
18634990,6335372
18634990,6230672
18634990,19728145
18634990,18665368
18634990,18955830
18634990,1360698
18634990,1371991
18634990,1349592
18634990,19443174
18634990,11625832
18634990,1505523
18634990,929402
22808815,2305281
22808815,18672773
22808815,14396812
22808815,19728145
22808815,1274150
22808815,20186791
22808815,1324203
22808815,23112117
22808815,8540732
22808815,1578685
22808815,1772099
22808815,1354051
22808815,5282132
22808815,20348898
22808815,22197221
22808815,1805550
22808815,18529135
22808815,15552112
22808815,15297782
18243826,2556962
18243826,20583464
18243826,22023226
18243826,339011
18243826,19049542
18243826,18658376
18243826,1457232
18243826,18672773
18243826,19713173
18243826,19852452
18243826,18801828
18243826,1324203
18243826,19680459
18243826,4705492
18243826,22920407
18243826,18361585
18243826,1505523
18243826,22193397
18243826,6629622
18243826,25481468
18243826,23394559
18243826,1358081
18243826,6928642
18243826,981249
18243826,22422793
18243826,12847372
18243826,19262745
18243826,25521445
18243826,1274150
18243826,1169709
18243826,528705
18243826,1431882
18243826,20806988
18243826,5282132
18243826,18506072
18243826,20377949
18243826,19827046
18243826,24553853
18243826,1786237
18243826,21755271
18243826,10426762
18243826,14396812
18243826,22485402
18243826,20336043
18243826,18953664
18243826,18977219
18243826,16536012
18243826,1751502
18243826,20836828
18243826,1622500
18243826,25327081
18243826,19828207
18243826,19094001
18243826,1102353
18243826,23816722
18243826,788001
18243826,6641192
18243826,18955830
18243826,20181560
18243826,10000962
18243826,1772099
18243826,6190702
18243826,15552112
18243826,1741429
18243826,929402
18243826,710272
18243826,18549379
18243826,541319
18243826,1492619
18243826,6230672
18243826,15770262
18243826,19847832
18243826,252576
18243826,11131552
18243826,19687074
18243826,20186791
18243826,18849449
18243826,18549438
18243826,20384452
18243826,25681644
18243826,2496252
18243826,21715712
18243826,18495240
18243826,19728145
18243826,26091301
18243826,18471729
18243826,7700282
18243826,8908602
18243826,1078077
18243826,18996036
18243826,19266390
18243826,1371991
18243826,20129636
18243826,19934054
18243826,1187715
18243826,24803205
18243826,6335372
18243826,23674770
18243826,22730657
18243826,23594916
18243826,18476981
18243826,6284242
18243826,1349592
18243826,1576921
18243826,20348898
18243826,22197221
18243826,22422502
18243826,526316
18243826,1642477
18243826,24693747
18243826,18256892
18243826,18414590
1505523,981249
1505523,19728145
1505523,25903892
1505523,22643488
1505523,1169709
1505523,18955830
1505523,4063542
1505523,20181560
1505523,1078077
1505523,339011
1505523,19049542
1505523,1371991
1505523,18506072
1505523,23053409
1505523,20822884
1505523,6190702
1505523,1786237
1505523,1187715
1505523,24803205
1505523,1776274
1505523,23674770
1505523,19713173
1505523,15770262
